vid_id,uploader_name,interval_fromytcreated_toupload,category,video_length,no_of_views,ratings,no_of_ratings,no_of_comments
1q7HsAfr340,rikkiluv,815,Entertainment,319,172115,4.89,980,791
WpkB2XgbTUY,OneTreeHill32330,746,Music,123,489194,4.95,2165,3268
2DuPesYt6ek,somedia,1014,Music,201,192352,4.93,947,1539
IyRNZGfFtow,somedia,748,Music,363,761813,4.93,3770,4709
PpQ2iDD0nuM,iluvthejobros,654,People & Blogs,536,148575,4.95,1381,1495
8_oNJgrQWbE,somedia,1047,Music,504,128413,4.92,1226,1937
WxJHzHJx2ys,reidooproductions,1133,Science & Technology,52,592,4.5,2,3
knqyg9EL99I,JonasBrothersEmedia,1133,Music,31,823,5,1,4
b-949YRzGag,suppacoolfreeks,1133,Music,71,280,5,3,5
z2Uu_ttHL_4,K9andEquine,1133,Comedy,7,1461,4,9,30
bhcHS0C5R3U,PIECEoutGIRLscout,1134,Comedy,24,135,5,2,0
cY-PmelkDTU,sleepyanimeboi,1084,Music,177,186725,4.95,1122,1966
RY0cQRfAZ9w,JUSTurAVERAGEgirl,1128,People & Blogs,41,1274,4.2,5,16
Q4p24UgWVls,BonusJonasLover,1132,Music,52,1759,4,7,32
tnEA8j1w0hc,CassidyJeslyn,1133,Comedy,51,38,0,0,2
kLVe0CR5SoM,fanniieee,1128,Entertainment,30,8934,4.82,28,105
FLrGYRpvK2E,jbrocks1550,1130,Music,163,180,5,3,6
fIJA-0nsoeQ,JonasGalore,1131,Music,206,181,5,1,3
eSa18htB_-k,scoredforstylepoints,1084,Music,368,87684,4.97,788,1336
IG80zr1iIK0,hannahmontanarocks11,1128,Entertainment,158,895,4.73,15,70
LBs4CvBOy-w,Letsdiiscox3,1084,Entertainment,358,4029,5,25,44
_fubkFmNnYA,addicted2jonas,1098,Music,172,309,5,3,2
DzBrK9DJhUA,Mushinimario,1091,Entertainment,291,1534,5,3,22
h2NzGVzc_kI,JonasSpotlight,1083,Entertainment,325,43794,4.88,322,461
9snq-zcdCtI,BrooklynBorn99,1012,Music,203,134763,4.56,185,341
YQI-wJG1K0M,TheFaderTeam,1091,Music,154,63245,4.61,71,152
9axroVxp2qI,teyanataylor,1129,Music,205,22309,4.72,61,107
fV6VZWT8ZbQ,crazysarah2829,1107,Music,273,8731,4.67,12,16
NbUQceUSnu8,teyanataylor,1133,Music,423,1090,5,12,14
1wMo5xaoklQ,IceCreamGirlMaria,1086,People & Blogs,306,6922,5,12,17
s0k_xp_EfUI,njolirk,1129,Music,199,3224,4.44,9,13
wF3fHhlj624,TorrieBaker,1092,Music,219,20657,3.93,14,16
yJxRTMUjP4Q,cokonice,1130,Music,211,1517,4.69,26,39
sI-v_oDg7cE,LINSAYDrewswsfs,1131,Music,213,7471,4.35,17,22
XkJOBUkmfT8,SaMMenTt,1135,Music,208,88,0,0,1
nGF4kermVOM,sohoodtrackz,1131,Music,202,227,0,0,0
P7lf5Hcut2A,sarahfreeman123,1112,Music,198,2340,4.25,8,1
YY_zwWpf_iA,SaMMenTt,1131,People & Blogs,205,2073,4.71,17,22
PX7tFO58p3w,MAG1KProductionz,1102,Music,204,15604,4.84,25,43
xHRaFG9AHKI,lisanv,1129,Music,204,5352,4.57,7,15
jW9nYtX7tZw,Rafawag741,1133,Music,205,167,5,1,5
Twf5rtRSf5A,youngkingz12,1130,Music,205,1555,0,0,0
8-Kl-nHtZms,JairoIvan200,1130,Music,205,243,5,3,2
T-JZo1U9GZA,fenerbahce38,1132,Music,205,157,5,1,0
xCyaQWfSh1E,DKnight2007,732,Pets & Animals,112,718189,4.41,1168,1653
